Timestamp,overbust,chest,underbust,natural waist,low waist,hip,direction
30/01/2026 11:36:40,,,98.0,103.0,111.0,108.0,Transmasc
01/02/2026 17:24:22,,,68.58,63.5,71.12,82.55,Transmasc
02/02/2026 05:12:15,,93.98,,91.44,96.52,99.06,Transmasc
10/02/2026 13:13:15,,105.0,101.0,101.0,97.0,105.0,Transmasc
12/02/2026 18:42:32,,90.0,79.0,76.0,86.0,92.0,Transmasc
18/02/2026 21:07:57,,,119.38,119.38,127.0,119.38,Transmasc
10/05/2026 00:04:58,,,96.52,90.17,102.87,105.41,Transmasc
10/05/2026 07:25:26,,110.0,106.0,111.0,122.0,120.0,Transmasc
25/06/2026 21:26:36,,75.0,73.0,71.0,79.0,86.0,Transmasc
25/06/2026 23:28:34,,100.0,98.0,101.0,115.0,124.5,Transmasc
25/06/2026 23:45:47,,,83.82,76.2,85.09,93.98,Transmasc
26/06/2026 06:36:06,,88.9,83.82,78.74,88.9,97.79,Transmasc
27/06/2026 04:19:45,,132.08,124.46,144.78,133.35,137.16,Transmasc
27/06/2026 05:22:05,,,86.36,81.28,81.28,96.52,Transmasc
27/06/2026 06:14:25,,,82.55,71.12,81.28,86.36,Transmasc
27/06/2026 10:36:37,,95.0,93.0,87.0,94.0,105.0,Transmasc
27/06/2026 10:43:11,,108.0,100.0,101.0,106.0,112.5,Transmasc
27/06/2026 13:30:01,,87.0,79.0,78.0,82.0,100.0,Transmasc
27/06/2026 16:20:55,,125.0,119.0,116.0,120.0,123.0,Transmasc
27/06/2026 16:36:58,,,94.0,95.0,105.0,105.0,Transmasc
27/06/2026 16:50:59,,96.52,93.98,99.06,111.76,111.76,Transmasc
27/06/2026 17:38:17,,,78.0,71.0,85.0,91.0,Transmasc
27/06/2026 20:15:01,,,74.93,67.31,73.66,86.36,Transmasc
27/06/2026 23:28:03,,84.0,79.0,86.0,70.0,65.0,Transmasc
27/06/2026 23:36:11,,107.95,101.6,107.95,109.22,115.57,Transmasc
27/06/2026 23:48:41,,,91.44,87.63,104.14,106.68,Transmasc
28/06/2026 00:16:18,,79.0,76.0,72.0,81.0,93.0,Transmasc
28/06/2026 00:28:18,,114.3,109.22,106.68,119.38,129.54,Transmasc
28/06/2026 11:06:18,,75.5,73.5,65.5,71.0,85.0,Transmasc
28/06/2026 12:06:05,,97.0,92.5,88.5,92.0,114.0,Transmasc
28/06/2026 17:36:17,,,93.98,93.98,101.6,114.3,Transmasc
28/06/2026 22:54:38,,97.79,,86.36,91.44,97.79,Transmasc
28/06/2026 23:40:33,,111.76,106.68,104.14,112.395,116.84,Transmasc
29/06/2026 00:52:46,,100.0,97.0,96.0,104.0,110.0,Transmasc
29/06/2026 04:30:27,,,88.0,98.0,97.0,106.0,Transmasc
29/06/2026 05:57:36,,88.9,86.36,95.25,88.9,99.06,Transmasc
29/06/2026 08:24:40,,85.09,82.804,80.01,95.25,97.79,Transmasc
29/06/2026 09:00:13,,86.0,82.0,76.0,88.0,100.0,Transmasc
29/06/2026 11:34:06,,99.0,93.0,98.0,97.0,111.0,Transmasc
30/06/2026 03:49:02,,,91.44,86.36,91.44,101.6,Transmasc
30/06/2026 19:44:33,,87.0,84.0,82.0,88.0,105.0,Transmasc
30/06/2026 21:02:07,,96.5,89.0,84.0,85.0,101.5,Transmasc
01/07/2026 09:29:24,,94.0,92.0,89.0,105.0,111.0,Transmasc
01/07/2026 12:33:48,,113.0,107.0,120.0,115.0,123.0,Transmasc
02/07/2026 07:04:47,,71.755,67.945,61.595,69.85,83.185,Transmasc
02/07/2026 18:25:24,,87.5,86.0,77.2,85.0,98.0,Transmasc
03/07/2026 19:02:39,,80.0,75.5,70.0,76.0,88.0,Transmasc
04/07/2026 17:16:44,,86.36,81.28,73.66,81.28,93.98,Transmasc
05/07/2026 18:41:09,,100.0,94.0,84.0,92.0,105.0,Transmasc
06/07/2026 02:28:54,,,89.535,90.17,95.885,99.695,Transmasc
06/07/2026 05:28:22,,92.71,,110.49,109.22,119.38,Transmasc
14/07/2026 07:45:20,,,99.06,106.68,109.22,111.76,Transmasc
19/07/2026 15:27:12,,82.0,79.0,74.0,87.0,90.0,Transmasc
20/07/2026 02:14:18,,,91.44,91.44,96.52,99.06,Transmasc
20/07/2026 10:53:57,,106.0,,97.0,112.0,108.0,Transmasc
20/07/2026 11:30:31,,99.0,91.0,86.0,96.0,104.0,Transmasc
20/07/2026 12:33:10,,,113.0,119.0,128.0,130.0,Transmasc
20/07/2026 12:43:46,,,,148.0,140.0,166.0,Transmasc
05/02/2026 14:14:00,105.0,114.0,97.0,101.0,104.0,106.0,Transfemme
03/05/2026 17:11:16,94.0,104.0,89.0,88.0,97.0,103.0,Transfemme
27/06/2026 07:02:47,110.0,115.0,103.0,96.0,105.0,119.0,Transfemme
28/06/2026 00:43:40,104.14,106.68,101.6,86.36,111.76,104.14,Transfemme
28/06/2026 03:11:50,116.84,127.0,114.3,111.76,139.7,138.43,Transfemme
28/06/2026 12:20:26,118.0,127.0,106.0,106.0,111.0,114.0,Transfemme
28/06/2026 12:48:37,84.0,87.0,75.0,70.0,76.0,94.0,Transfemme
28/06/2026 13:01:41,100.0,109.0,98.5,95.0,100.0,115.5,Transfemme
28/06/2026 13:16:10,74.0,89.0,78.0,74.0,84.0,93.0,Transfemme
28/06/2026 13:40:45,99.0,97.0,85.0,83.0,89.0,105.0,Transfemme
28/06/2026 13:51:23,102.0,111.0,99.0,94.0,108.0,117.0,Transfemme
28/06/2026 13:56:38,,92.0,80.5,70.0,78.5,90.0,Transfemme
28/06/2026 14:04:02,89.0,95.0,82.0,77.5,86.5,102.5,Transfemme
28/06/2026 14:11:42,105.0,105.0,98.5,96.0,100.0,110.0,Transfemme
28/06/2026 16:48:51,97.0,100.0,89.0,80.0,88.0,101.0,Transfemme
02/07/2026 04:17:15,101.6,106.68,104.14,101.6,101.6,107.95,Transfemme
02/07/2026 20:48:47,88.9,93.98,88.9,78.74,86.36,104.14,Transfemme
03/07/2026 20:02:01,104.14,107.95,93.98,95.25,107.95,114.3,Transfemme
11/07/2026 14:47:04,111.0,118.0,105.0,104.0,122.0,121.0,Transfemme
18/07/2026 08:21:44,100.33,101.6,95.25,91.44,102.87,106.68,Transfemme
20/07/2026 10:29:42,107.0,110.0,111.0,115.0,127.0,118.5,Transfemme
20/07/2026 10:41:09,112.0,117.0,106.0,104.0,119.0,125.0,Transfemme
20/07/2026 10:48:17,,118.0,114.0,107.0,110.0,107.0,Transfemme
20/07/2026 11:02:28,88.0,94.0,86.0,80.0,85.0,100.0,Transfemme
20/07/2026 11:11:20,103.0,,97.0,94.0,104.0,113.0,Transfemme
20/07/2026 11:21:04,97.0,99.0,89.0,84.0,88.0,108.0,Transfemme
20/07/2026 11:36:36,109.0,,101.0,102.0,103.0,103.0,Transfemme
20/07/2026 11:44:55,,119.0,102.0,96.0,98.0,117.0,Transfemme
20/07/2026 11:55:06,93.0,91.0,80.5,71.5,79.5,94.0,Transfemme
20/07/2026 12:09:02,,110.0,95.0,92.0,96.0,103.0,Transfemme
20/07/2026 12:18:58,100.0,111.0,96.0,96.0,103.0,116.0,Transfemme
20/07/2026 12:24:57,,95.0,87.0,83.0,94.0,101.0,Transfemme
