overbust,chest,underbust,natural waist,waist,low waist,hip,gender,study
105.8,105.2,97.1,94.9,,98.2,102.7,Cis man,ANSUR (1988)
105.4,102.9,95.2,91.6,,97.6,104.5,Cis man,ANSUR (1988)
99.7,99.5,93.4,83.4,,84.5,97.0,Cis man,ANSUR (1988)
97.6,96.6,87.7,82.5,,88.4,99.8,Cis man,ANSUR (1988)
100.7,103.2,94.8,91.4,,96.6,96.8,Cis man,ANSUR (1988)
93.7,93.7,85.9,75.9,,74.1,87.9,Cis man,ANSUR (1988)
106.4,101.2,98.3,95.1,,99.6,103.0,Cis man,ANSUR (1988)
100.9,98.0,92.4,88.6,,93.1,102.7,Cis man,ANSUR (1988)
104.9,101.9,96.3,90.2,,92.9,101.4,Cis man,ANSUR (1988)
108.1,106.9,104.4,97.1,,92.3,106.2,Cis man,ANSUR (1988)
106.6,104.3,100.3,96.4,,96.2,102.5,Cis man,ANSUR (1988)
110.5,106.1,99.2,92.9,,92.8,106.7,Cis man,ANSUR (1988)
107.1,104.8,99.4,92.5,,93.4,98.9,Cis man,ANSUR (1988)
105.9,104.1,97.8,87.4,,87.2,95.5,Cis man,ANSUR (1988)
92.2,89.6,83.3,83.4,,90.7,96.0,Cis man,ANSUR (1988)
111.6,107.8,101.1,98.1,,97.4,98.6,Cis man,ANSUR (1988)
107.2,102.8,97.3,86.4,,88.7,102.2,Cis man,ANSUR (1988)
102.6,99.3,93.2,84.7,,87.5,99.1,Cis man,ANSUR (1988)
102.2,99.9,94.2,83.1,,84.8,95.8,Cis man,ANSUR (1988)
105.0,98.1,94.5,91.2,,92.1,103.4,Cis man,ANSUR (1988)
115.4,114.2,104.5,98.4,,99.3,109.9,Cis man,ANSUR (1988)
98.2,95.4,90.8,83.1,,85.2,92.1,Cis man,ANSUR (1988)
101.4,100.7,97.1,80.5,,80.2,91.2,Cis man,ANSUR (1988)
100.8,97.1,90.3,77.8,,76.4,96.1,Cis man,ANSUR (1988)
102.2,98.5,90.2,85.7,,88.5,100.1,Cis man,ANSUR (1988)
96.7,93.6,90.2,84.8,,86.1,102.4,Cis man,ANSUR (1988)
103.2,102.2,96.4,92.0,,94.8,104.8,Cis man,ANSUR (1988)
100.7,98.5,93.8,85.2,,85.5,97.0,Cis man,ANSUR (1988)
88.9,87.1,81.3,72.7,,76.7,89.7,Cis man,ANSUR (1988)
108.5,104.6,95.9,87.9,,89.8,100.1,Cis man,ANSUR (1988)
106.0,100.8,95.1,82.2,,85.3,98.0,Cis man,ANSUR (1988)
102.6,101.2,91.9,85.4,,89.6,104.8,Cis man,ANSUR (1988)
108.2,107.8,102.0,95.2,,94.1,101.3,Cis man,ANSUR (1988)
93.4,90.4,84.8,78.5,,83.4,93.9,Cis man,ANSUR (1988)
111.6,108.9,101.6,93.3,,94.9,106.2,Cis man,ANSUR (1988)
109.8,108.0,97.0,97.6,,103.8,111.0,Cis man,ANSUR (1988)
100.0,95.5,90.1,79.2,,77.1,94.9,Cis man,ANSUR (1988)
94.8,90.0,86.7,78.9,,78.6,88.4,Cis man,ANSUR (1988)
99.0,94.6,89.1,86.0,,88.9,101.0,Cis man,ANSUR (1988)
102.5,98.6,94.0,91.8,,92.5,96.2,Cis man,ANSUR (1988)
108.1,103.6,99.1,95.1,,102.4,113.0,Cis man,ANSUR (1988)
99.3,95.3,91.6,82.6,,86.5,99.6,Cis man,ANSUR (1988)
96.7,96.2,91.8,81.6,,81.6,91.7,Cis man,ANSUR (1988)
106.5,103.8,97.3,94.1,,97.6,103.6,Cis man,ANSUR (1988)
107.2,102.7,95.9,91.2,,94.5,107.2,Cis man,ANSUR (1988)
105.9,104.4,96.9,85.4,,89.1,100.1,Cis man,ANSUR (1988)
99.1,93.7,87.8,85.5,,88.3,94.5,Cis man,ANSUR (1988)
109.6,108.9,100.4,95.3,,102.9,102.8,Cis man,ANSUR (1988)
114.4,109.9,104.7,102.6,,105.6,114.4,Cis man,ANSUR (1988)
109.6,104.6,100.9,88.9,,92.0,99.1,Cis man,ANSUR (1988)
