overbust,bust,underbust,natural waist,waist,low waist,hip,gender,study
103.7,112.8,91.6,88.5,,100.7,103.1,Cis woman,ANSUR (1988)
87.2,90.5,73.0,67.2,,73.7,92.8,Cis woman,ANSUR (1988)
88.8,96.1,77.9,67.6,,74.2,95.8,Cis woman,ANSUR (1988)
94.9,96.9,82.6,76.0,,83.5,100.9,Cis woman,ANSUR (1988)
84.4,84.7,73.5,69.8,,72.2,98.1,Cis woman,ANSUR (1988)
85.9,85.9,70.5,65.5,,73.4,91.7,Cis woman,ANSUR (1988)
93.7,93.0,82.5,76.7,,79.8,104.8,Cis woman,ANSUR (1988)
91.9,95.8,81.4,76.8,,81.5,96.3,Cis woman,ANSUR (1988)
88.2,90.0,73.4,68.6,,76.2,93.4,Cis woman,ANSUR (1988)
81.4,77.6,66.3,59.8,,66.9,88.4,Cis woman,ANSUR (1988)
94.2,95.8,82.9,69.3,,70.5,92.4,Cis woman,ANSUR (1988)
85.9,86.6,72.1,67.4,,77.6,93.2,Cis woman,ANSUR (1988)
85.4,80.9,72.8,61.9,,67.7,89.4,Cis woman,ANSUR (1988)
92.2,91.5,77.7,70.2,,78.8,97.0,Cis woman,ANSUR (1988)
88.9,93.6,80.9,67.0,,70.0,94.1,Cis woman,ANSUR (1988)
92.8,96.1,79.0,77.8,,87.1,105.2,Cis woman,ANSUR (1988)
102.8,106.0,84.6,87.2,,101.8,114.3,Cis woman,ANSUR (1988)
89.7,97.2,79.5,78.3,,82.4,96.6,Cis woman,ANSUR (1988)
85.5,87.5,73.6,64.8,,72.6,96.9,Cis woman,ANSUR (1988)
89.4,86.8,76.1,74.4,,82.9,99.7,Cis woman,ANSUR (1988)
82.9,86.2,72.9,70.6,,75.5,97.2,Cis woman,ANSUR (1988)
80.4,80.3,71.1,65.5,,81.7,90.3,Cis woman,ANSUR (1988)
87.8,86.2,75.8,65.4,,69.1,86.2,Cis woman,ANSUR (1988)
89.3,96.7,75.0,70.6,,85.7,103.0,Cis woman,ANSUR (1988)
