overbust,bust,underbust,natural waist,low waist,hip,gender,study
105.0,114.0,97.0,101.0,104.0,106.0,Transfemme,Trans Standard Sizing (2026)
94.0,104.0,89.0,88.0,97.0,103.0,Transfemme,Trans Standard Sizing (2026)
110.0,115.0,103.0,96.0,105.0,119.0,Transfemme,Trans Standard Sizing (2026)
104.14,106.68,101.6,86.36,111.76,104.14,Transfemme,Trans Standard Sizing (2026)
116.84,127.0,114.3,111.76,139.7,138.43,Transfemme,Trans Standard Sizing (2026)
118.0,127.0,106.0,106.0,111.0,114.0,Transfemme,Trans Standard Sizing (2026)
84.0,87.0,75.0,70.0,76.0,94.0,Transfemme,Trans Standard Sizing (2026)
100.0,109.0,98.5,95.0,100.0,115.5,Transfemme,Trans Standard Sizing (2026)
74.0,89.0,78.0,74.0,84.0,93.0,Transfemme,Trans Standard Sizing (2026)
99.0,97.0,85.0,83.0,89.0,105.0,Transfemme,Trans Standard Sizing (2026)
102.0,111.0,99.0,94.0,108.0,117.0,Transfemme,Trans Standard Sizing (2026)
,92.0,80.5,70.0,78.5,90.0,Transfemme,Trans Standard Sizing (2026)
89.0,95.0,82.0,77.5,86.5,102.5,Transfemme,Trans Standard Sizing (2026)
105.0,105.0,98.5,96.0,100.0,110.0,Transfemme,Trans Standard Sizing (2026)
97.0,100.0,89.0,80.0,88.0,101.0,Transfemme,Trans Standard Sizing (2026)
101.6,106.68,104.14,101.6,101.6,107.95,Transfemme,Trans Standard Sizing (2026)
88.9,93.98,88.9,78.74,86.36,104.14,Transfemme,Trans Standard Sizing (2026)
104.14,107.95,93.98,95.25,107.95,114.3,Transfemme,Trans Standard Sizing (2026)
111.0,118.0,105.0,104.0,122.0,121.0,Transfemme,Trans Standard Sizing (2026)
100.33,101.6,95.25,91.44,102.87,106.68,Transfemme,Trans Standard Sizing (2026)
107.0,110.0,111.0,115.0,127.0,118.5,Transfemme,Trans Standard Sizing (2026)
112.0,117.0,106.0,104.0,119.0,125.0,Transfemme,Trans Standard Sizing (2026)
,118.0,114.0,107.0,110.0,107.0,Transfemme,Trans Standard Sizing (2026)
88.0,94.0,86.0,80.0,85.0,100.0,Transfemme,Trans Standard Sizing (2026)
103.0,,97.0,94.0,104.0,113.0,Transfemme,Trans Standard Sizing (2026)
97.0,99.0,89.0,84.0,88.0,108.0,Transfemme,Trans Standard Sizing (2026)
109.0,,101.0,102.0,103.0,103.0,Transfemme,Trans Standard Sizing (2026)
,119.0,102.0,96.0,98.0,117.0,Transfemme,Trans Standard Sizing (2026)
93.0,91.0,80.5,71.5,79.5,94.0,Transfemme,Trans Standard Sizing (2026)
,110.0,95.0,92.0,96.0,103.0,Transfemme,Trans Standard Sizing (2026)
100.0,111.0,96.0,96.0,103.0,116.0,Transfemme,Trans Standard Sizing (2026)
,95.0,87.0,83.0,94.0,101.0,Transfemme,Trans Standard Sizing (2026)
