Timestamp,unit,underbust circumference,bust circumference (standing/no binder),underbust circumference (snug),underbust circumference (tight),strap length to underbust (front),strap length to underbust (back),front bust (standing),bust circumference (bent over),bust circumference (lying down),overbust circumference,clavicle to overbust,clavicle to nipple/apex,top cup,bottom cup,outer arc,inner arc,breast spacing,bust circumference (padded bra),height (REQUIRED),nape of the neck to floor,head circumference,neck circumference,base of neck circumference,shoulder (REQUIRED),arm length (REQUIRED),shoulder to elbow,elbow to wrist,bicep circumference (REQUIRED),elbow circumference,wrist circumference,hand circumference,armhole height (front),armhole height (back),sleeve cap,armpit distance,front width,back width,shoulder width (front) (REQUIRED),shoulder width (back),clavicle to shoulder point distance,natural waist circumference (REQUIRED),front (natural) waist,distance from clavicle to natural waist (front) (REQUIRED),"distance from clavicle to natural waist (front, with ruler)",side seam to natural waist,nipple/bust point distance,distance from shoulder to natural waist (front),distance from nipple/bust point to natural waist,distance from underbust to natural waist,"shoulder to natural waist (diagonal, front)","shoulder to natural waist (diagonal, back)",distance from nape of the neck to natural waist (back),distance from shoulder to natural waist (back),nape of the neck to end of ribcage/sternum,end of ribcage/sternum to natural waist,nape of the neck to front natural waist,high hip/low waist circumference (REQUIRED),front (low) waist,natural waist to high hip/low waist distance (front),natural waist to high hip distance (side),natural waist to high hip distance (back),hip circumference (REQUIRED),front hip,natural waist to hip (front),natural waist to hip (side),natural waist to hip (back),fly length (from natural waist),rise to natural waist (REQUIRED),crotch depth,outseam from natural waist (side) (REQUIRED),outseam from natural waist (front),outseam from natural waist (back),inseam,thigh circumference (REQUIRED),knee circumference,calf circumference,ankle circumference,foot entry circumference,knee to floor,ankle to floor
05/02/2026 14:14:00,inch,38.189,44.882,36.22,35.039,14.173,13.78,27.559,49.606,45.669,41.339,4.331,12.205,6.693,3.937,5.512,6.693,3.15,,64.961,55.118,22.835,14.567,16.535,6.299,21.654,13.386,9.843,14.567,11.417,7.48,9.449,6.299,8.661,5.906,5.906,17.323,22.835,17.323,24.409,9.843,39.764,23.228,15.748,18.11,11.417,11.024,24.016,10.236,6.299,22.047,18.504,16.929,17.717,16.535,8.268,22.047,40.945,22.047,7.087,3.937,5.118,41.732,24.409,9.449,9.843,11.811,11.811,10.63,30.709,37.402,39.764,41.339,27.953,25.197,16.142,14.961,9.055,12.598,15.354,3.543
03/05/2026 17:11:16,inch,35.039,40.945,33.858,32.677,13.386,12.992,21.654,41.732,40.945,37.008,5.118,7.874,2.362,1.969,2.756,3.15,3.15,,76.772,,24.409,14.567,,5.118,22.835,,,11.417,,,9.055,,,,,,,16.535,,,34.646,,12.598,13.386,,8.268,17.717,6.693,4.331,,,,,,,,38.189,,4.724,,,40.551,,9.055,,,12.598,12.992,31.496,49.213,,,36.22,23.622,15.748,15.748,10.236,13.78,18.898,3.937
27/06/2026 07:02:47,inch,40.551,45.276,39.764,39.37,15.748,14.173,25.197,48.031,46.063,43.307,4.724,9.449,4.724,3.543,5.512,5.118,2.362,46.85,72.047,,23.622,16.535,18.504,7.874,24.803,14.173,10.63,14.961,11.811,7.874,9.449,,,,,,,19.685,,,37.795,,15.354,,,,,,,,,,,,,,41.339,,,,,46.85,,,,,,14.173,,45.669,,,,27.165,,,,,,
28/06/2026 00:43:40,inch,40.0,42.0,39.0,39.0,16.0,16.0,7.0,45.0,43.0,41.0,6.0,11.0,4.0,3.0,6.0,5.0,4.5,,76.0,60.0,22.5,16.0,16.0,,,13.0,13.0,13.0,11.0,7.0,9.0,11.0,11.0,7.0,3.0,15.0,14.0,18.0,17.0,9.0,34.0,18.0,14.0,14.0,11.0,10.0,19.0,7.5,5.0,19.0,17.0,18.0,17.5,16.0,3.0,17.0,44.0,26.0,6.0,3.0,2.0,41.0,20.0,9.0,8.0,7.0,10.0,11.0,36.0,44.0,46.0,44.5,33.0,23.0,15.5,15.5,11.0,14.5,22.0,4.0
28/06/2026 03:11:50,inch,45.0,50.0,44.0,43.5,,,,51.5,50.0,46.0,,,,,,,,,68.0,,,17.0,,5.0,24.0,,,17.0,,7.5,10.0,,,,,,,16.0,,,44.0,,,,,,,,,,,,,,,,55.0,,,,,54.5,,,,,,17.0,,47.0,,,,31.5,,,,,,
28/06/2026 12:20:26,inch,41.732,50.0,39.961,39.567,,,28.74,,,46.457,2.756,9.449,,,,,,,74.016,,23.622,16.929,19.291,5.906,25.197,14.173,11.417,12.598,11.811,7.283,9.843,,,,,15.748,15.945,17.323,18.11,9.843,41.732,22.047,,14.567,7.48,11.22,17.323,7.48,3.937,19.291,16.929,16.929,16.535,19.685,5.512,24.016,43.701,22.835,4.331,3.937,2.362,44.882,22.047,7.874,7.874,8.661,,12.992,,50.0,50.394,48.425,,25.984,16.535,16.535,9.843,,21.26,4.331
28/06/2026 12:48:37,inch,29.528,34.252,29.134,28.346,12.205,11.417,19.291,37.008,,33.071,5.906,8.268,,,,,,,74.016,,22.047,12.992,16.142,,24.016,13.386,10.63,9.055,9.843,7.087,8.661,,,,,12.992,12.598,18.11,17.717,7.087,27.559,15.354,16.929,,8.661,9.055,16.142,11.024,7.087,19.685,16.929,14.567,17.323,9.449,6.299,15.748,29.921,,5.118,4.331,3.937,37.008,17.717,7.48,6.693,7.087,,11.024,,40.551,39.764,38.976,29.528,17.717,13.78,12.598,9.449,,22.047,4.724
28/06/2026 13:01:41,inch,38.78,42.913,37.795,37.402,,,22.047,,,39.37,3.937,8.661,,,,,,,68.11,58.661,25.0,14.961,17.323,5.906,22.441,11.811,9.843,12.992,11.417,7.48,9.646,,,,,14.567,15.748,16.929,19.685,9.449,37.402,18.898,,13.386,5.512,8.268,17.913,7.087,3.937,17.717,16.929,17.717,15.748,17.717,6.299,21.457,39.37,22.244,3.543,4.724,3.543,45.472,22.047,7.087,9.055,9.843,,13.78,36.614,44.094,43.898,43.307,30.118,26.772,17.52,17.126,10.236,,20.472,6.299
28/06/2026 13:16:10,inch,30.709,35.039,29.921,29.528,11.417,14.567,18.898,34.252,,29.134,4.724,7.087,,,,,,,64.961,,22.047,13.386,17.323,,21.26,11.417,9.843,10.63,9.449,7.087,8.268,,,,,11.417,12.992,15.748,17.717,,29.134,14.567,11.811,,5.906,7.087,11.811,10.63,5.906,16.142,14.567,14.173,15.354,10.63,5.512,12.992,33.071,16.535,3.543,3.937,3.15,36.614,15.748,6.693,7.087,7.087,,11.024,,36.22,36.614,37.402,28.74,20.472,15.354,12.205,10.63,,20.079,4.724
28/06/2026 13:40:45,inch,33.465,38.189,32.874,32.48,,,19.882,,,38.976,3.937,7.48,,,,,,,68.11,58.268,22.835,14.37,15.551,6.89,22.441,13.386,10.63,12.598,11.024,6.89,8.661,,,,,14.961,16.142,18.11,22.047,8.268,32.677,16.339,,12.598,6.693,8.268,15.354,5.906,3.74,16.732,16.535,16.535,15.354,14.961,5.118,19.685,35.039,17.126,3.937,3.543,3.937,41.339,19.882,7.087,6.693,8.465,,11.811,37.008,43.701,46.063,45.276,33.071,24.606,17.717,16.732,10.827,,20.866,4.724
