Timestamp,did you shop in birth sex aisle pre-transition and remember your size(s),pre-transition sizes,how well did standard sizing fit pre-transition,how did that change,fit issue with shoulder width,fit issue with sleeve circumference,fit issue with sleeve length,fit issue with chest width,fit issue with breast space ,fit issue with waist size,fit issue with torso length ,fit issue with hip width,fit issue with pant crotch fit,fit issue with leg circumference,fit issue with leg length,other fit issues,suggestions
05/02/2026 14:14:00,I don't know/remember my size pre-transition,,Very well,For the worse,too small,too small,,too small,too small,too small,too small,too big,,,,"Ambulatory WC user, so atrophy in legs.","[""Long tops that don't ride up over the belly!!!"", ""Button-up shirt that's butch but female?""]"
03/05/2026 17:11:16,I don't know/remember my size pre-transition,,"Somewhat well, but fit issues",For the worse,,,too small,,,,too small,,,,too small,,
27/06/2026 07:02:47,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'm')]",Very well,For the worse,too small,too small,too small,,,too small,too small,,too small,too small,too small,,"['lolita dresses', 'anything long sleeved']"
28/06/2026 00:43:40,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'Xxxl')]","Poorly, didn't access special sections",For the better,too small,too small,too small,too small,,,too small,too small,,too small,too small,,
28/06/2026 03:11:50,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'XXL')]","Somewhat well, but fit issues",For the better,,,,,too big,,,,too big,,,,
28/06/2026 12:20:26,I don't know/remember my size pre-transition,,,Not applicable,too small,,too small,,too small,,too small,too big,too small,too small,too small,,"['jumpsuits', 'dungarees', 'blouses']"
28/06/2026 12:48:37,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'XS')]","Poorly, didn't access special sections",For the worse,too small,too small,too small,,too big,,,too small,,too big,too small,,
28/06/2026 13:01:41,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'M')]","Somewhat well, but fit issues",For the better,,too small,,too small,,too small,,,too small,too small,,,"['cargo pants', 'jeans']"
28/06/2026 13:16:10,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'S'), ('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'M')]","Poorly, didn't access special sections",For the better,,,,,,,,,,,,noted maybe bc she sometimes adjusts her clothes,['bras']
28/06/2026 13:40:45,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'S'), ('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'M')]",,Not applicable,,,,,,,,,too small,,,,['underwear']
28/06/2026 13:51:23,I don't know/remember my size pre-transition,,,Not applicable,too small,,too small,too small,,too small,too big,,too small,too small,too small,,"['pants', 'skirts', 'upper body garments']"
28/06/2026 13:56:38,I never shopped in my birth sex's aisle/adult sizes/clothing stores pre-transition,,,Not applicable,,,,,,,too big,,,,,,
28/06/2026 14:04:02,Yes,"[('Other system: UK trouser sizes', '30/32'), ('Other system: UK? sizes', '36')]",Very well,For the worse,too small,,too small,too small,,,,,too small,,,,['short business skirt (no pleats)']
28/06/2026 14:11:42,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'M')]",Very well,For the worse,too small,,too small,too small,too small,,too small,,too small,,too small,,"['jumpsuits', 'maxi dress']"
28/06/2026 16:48:51,I don't know/remember my size pre-transition,,"Somewhat well, but fit issues",For the worse,too small,too small,too small,too small,too big,,too small,too big,,,too small,,"['Winter coats', 'One piece swimsuit']"
02/07/2026 04:17:15,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'M')]","Somewhat well, but fit issues",Neutrally,too small,,too small,too small,,too small,too small,,too small,too small,,,
02/07/2026 20:48:47,I don't know/remember my size pre-transition,,"Somewhat well, but fit issues",Neutrally,,,too small,,,,too small,,,,too small,,"['Longer sleeves!', 'Longer pants!', 'Taller dresses!']"
03/07/2026 20:02:01,Yes,"[(""Other system: US men's pant sizes"", '30"" waist'), ('Other system: US men\'s/""unisex"" shirt sizes', 'medium')]","Somewhat well, but fit issues",For the worse,too small,,too small,too small,,,too small,too big,too small,,too small,,"['trousers', ""women's jackets"", 'bras (cup/band ratio)']"
11/07/2026 14:47:04,I don't know/remember my size pre-transition,,Very well,For the worse,too small,,,,,,,,,too small,,Too fat for most female clothing.,"[""Women's waistcoat"", ""Women's suits more generally"", 'Shoes in adequate size (42)']"
18/07/2026 08:21:44,I don't know/remember my size pre-transition,,"Somewhat well, but fit issues",Neutrally,,too small,too small,,,too small,too small,,,,,Prop.ly long torso.1piece items w.crotch too short,
20/07/2026 10:29:42,I don't know/remember my size pre-transition,,Very well,Neutrally,,too small,too small,too big,too big,,too small,,,too big,,,['sparkly party dress']
20/07/2026 10:41:09,I never shopped in my birth sex's aisle/adult sizes/clothing stores pre-transition,,,Not applicable,,too small,too small,too small,too small,,too small,,,,too small,,"['suits', 'dresses']"
20/07/2026 10:48:17,Yes,"[('Other system: not specified', 'SXL')]",Very well,For the worse,too small,too small,too small,,too small,,too small,too big,too small,,too small,,"['maxi clothes', 'underwear']"
20/07/2026 11:02:28,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'M')]","Somewhat well, but fit issues",Neutrally,too small,,too small,too small,too small,,,,too small,,,lower ribs,['wider sexy femme panties']
20/07/2026 11:11:20,Yes,"[('Other system: suit', '40 regular')]",Very well,For the worse,,,too small,,too big,too small,too small,too big,,,too small,,"['long dresses', 'jackets']"
20/07/2026 11:21:04,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'M'), ('Other system: trousers (UK)', '34 long'), ('Other system: trousers (UK)', '32/34waist')]","Somewhat well, but fit issues",For the better,too small,,too small,,,,,,,,,wheelchair user,['shirts with longer sleeves']
20/07/2026 11:36:36,Yes,"[('Other system: trousers (UK)', '32 waist')]",Very well,For the worse,,,,too small,too small,,,,,,too big,,
20/07/2026 11:44:55,Yes,"[('Other system: waist', '34'), ('Other system: chest', '40')]",Very well,For the worse,too small,too small,too small,too small,too small,too big,too small,too small,,,,,"['one piece dresses', 'long-sleeved tops with scooped necks']"
20/07/2026 11:55:06,Yes,"[('Other system: trousers', '26w/32l'), ('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'M'), ('Other system: collar', '14')]","Poorly, didn't access special sections",For the better,too small,,too small,,,too big,too small,,,,,,"['shorts', 't-shirts']"
20/07/2026 12:09:02,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'XL')]",Very well,For the worse,too small,too small,too small,too small,,,,too big,,,too small,,['underwear']
20/07/2026 12:18:58,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'M'), ('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'L')]",Very well,For the worse,too small,,,,,,too small,,,,,,
