Timestamp,did you shop in birth sex aisle pre-transition and remember your size(s),pre-transition sizes,how well did standard sizing fit pre-transition,how did that change,fit issue with shoulder width,fit issue with sleeve circumference,fit issue with sleeve length,fit issue with chest width,fit issue with breast space ,fit issue with waist size,fit issue with torso length ,fit issue with hip width,fit issue with pant crotch fit,fit issue with leg circumference,fit issue with leg length,other fit issues,suggestions
05/02/2026 14:14:00,I don't know/remember my size pre-transition,,"Very well, I could easily find clothes off-the-rack that fit me in most shops",For the worse,too little / small / narrow / tight / short,too little / small / narrow / tight / short,,too little / small / narrow / tight / short,too little / small / narrow / tight / short,too little / small / narrow / tight / short,too little / small / narrow / tight / short,too much / big / wide / loose / long,,,,"Ambulatory WC user, so atrophy in legs.","[""Long tops that don't ride up over the belly!!!"", ""Button-up shirt that's butch but female?""]"
03/05/2026 17:11:16,I don't know/remember my size pre-transition,,"Somewhat well, I could usually find clothes off-the-rack, but experienced certain fit issues (ex. wrong length, ex. wrong circumference, etc)",For the worse,,,too little / small / narrow / tight / short,,,,too little / small / narrow / tight / short,,,,too little / small / narrow / tight / short,,
27/06/2026 07:02:47,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'm')]","Very well, I could easily find clothes off-the-rack that fit me in most shops",For the worse,too little / small / narrow / tight / short,too little / small / narrow / tight / short,too little / small / narrow / tight / short,,,too little / small / narrow / tight / short,too little / small / narrow / tight / short,,too little / small / narrow / tight / short,too little / small / narrow / tight / short,too little / small / narrow / tight / short,,"['lolita dresses', 'anything long sleeved']"
28/06/2026 00:43:40,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'Xxxl')]","Poorly, so I would have had to use specialist shops/sections (plus-size, extra tall, etc), but I didn't (very often; ex. because they weren't available to me).",For the better,too little / small / narrow / tight / short,too little / small / narrow / tight / short,too little / small / narrow / tight / short,too little / small / narrow / tight / short,,,too little / small / narrow / tight / short,too little / small / narrow / tight / short,,too little / small / narrow / tight / short,too little / small / narrow / tight / short,,
28/06/2026 03:11:50,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'XXL')]","Somewhat well, I could usually find clothes off-the-rack, but experienced certain fit issues (ex. wrong length, ex. wrong circumference, etc)",For the better,,,,,too much / big / wide / loose / long,,,,too much / big / wide / loose / long,,,,
28/06/2026 12:20:26,I don't know/remember my size pre-transition,,"Not applicable (ex. I didn't shop in birth sex aisle, I only wore homemade clothes, etc)",Not applicable,too little / small / narrow / tight / short,,too little / small / narrow / tight / short,,too little / small / narrow / tight / short,,too little / small / narrow / tight / short,too much / big / wide / loose / long,too little / small / narrow / tight / short,too little / small / narrow / tight / short,too little / small / narrow / tight / short,,"['jumpsuits', 'dungarees', 'blouses']"
28/06/2026 12:48:37,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'XS')]","Poorly, so I would have had to use specialist shops/sections (plus-size, extra tall, etc), but I didn't (very often; ex. because they weren't available to me).",For the worse,too little / small / narrow / tight / short,too little / small / narrow / tight / short,too little / small / narrow / tight / short,,too much / big / wide / loose / long,,,too little / small / narrow / tight / short,,too much / big / wide / loose / long,too little / small / narrow / tight / short,,
28/06/2026 13:01:41,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'M')]","Somewhat well, I could usually find clothes off-the-rack, but experienced certain fit issues (ex. wrong length, ex. wrong circumference, etc)",For the better,,too little / small / narrow / tight / short,,too little / small / narrow / tight / short,,too little / small / narrow / tight / short,,,too little / small / narrow / tight / short,too little / small / narrow / tight / short,,,"['cargo pants', 'jeans']"
28/06/2026 13:16:10,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'S'), ('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'M')]","Poorly, so I would have had to use specialist shops/sections (plus-size, extra tall, etc), but I didn't (very often; ex. because they weren't available to me).",For the better,,,,,,,,,,,,noted maybe bc she sometimes adjusts her clothes,['bras']
28/06/2026 13:40:45,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'S'), ('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'M')]","Not applicable (ex. I didn't shop in birth sex aisle, I only wore homemade clothes, etc)",Not applicable,,,,,,,,,too little / small / narrow / tight / short,,,,['underwear']
28/06/2026 13:51:23,I don't know/remember my size pre-transition,,"Not applicable (ex. I didn't shop in birth sex aisle, I only wore homemade clothes, etc)",Not applicable,too little / small / narrow / tight / short,,too little / small / narrow / tight / short,too little / small / narrow / tight / short,,too little / small / narrow / tight / short,too much / big / wide / loose / long,,too little / small / narrow / tight / short,too little / small / narrow / tight / short,too little / small / narrow / tight / short,,"['pants', 'skirts', 'upper body garments']"
28/06/2026 13:56:38,I never shopped in my birth sex's aisle/adult sizes/clothing stores pre-transition,,"Not applicable (ex. I didn't shop in birth sex aisle, I only wore homemade clothes, etc)",Not applicable,,,,,,,too much / big / wide / loose / long,,,,,,
28/06/2026 14:04:02,Yes,"[('Other system: UK trouser sizes', '30/32'), ('Other system: UK? sizes', '36')]","Very well, I could easily find clothes off-the-rack that fit me in most shops",For the worse,too little / small / narrow / tight / short,,too little / small / narrow / tight / short,too little / small / narrow / tight / short,,,,,too little / small / narrow / tight / short,,,,['short business skirt (no pleats)']
28/06/2026 14:11:42,Yes,"[('International letter sizes (XXS, XS, S, M, L, XL, XXL, 3XL, 4XL, etc)', 'M')]","Very well, I could easily find clothes off-the-rack that fit me in most shops",For the worse,too little / small / narrow / tight / short,,too little / small / narrow / tight / short,too little / small / narrow / tight / short,too little / small / narrow / tight / short,,too little / small / narrow / tight / short,,too little / small / narrow / tight / short,,too little / small / narrow / tight / short,,"['jumpsuits', 'maxi dress']"
